step,headed_mean_Theta,unheaded_mean_Theta,headed_rms,unheaded_rms,headed_bursts,unheaded_bursts
235,3.1836284326503743,3.1604840936964096,1.2745696681706884,1.0890356876734437,0,0
236,3.0976641773888978,3.1604967723507573,1.2747774669285052,1.0894357233734495,0,0
237,3.1885562738241497,3.160509409623304,1.2621964305488635,1.0898360840055075,0,0
238,3.093777896473712,3.1605220059734016,1.2516645937209712,1.0902367675351214,0,0
239,3.1907101949486845,3.160534561856695,1.2163981280496698,1.0906377719268627,0,0
240,3.0921835632278927,3.1605470777251057,1.1992233653584894,1.0910390951444426,0,0
241,3.1910496461069653,3.160559554026823,1.154373481546979,1.0914407351507904,0,0
242,3.09240481493773,3.1605719912062895,1.1369712988278813,1.0918426899081275,0,0
243,3.1893459937341135,3.160584389704193,1.096976050940502,1.092244957378044,0,0
244,3.094838626876982,3.1605967499574543,1.0819114948768818,1.0926475355215735,0,0
245,3.1839564059663004,3.160609072399214,1.0471738578951428,1.0930504222992679,0,0
246,3.1025837498765347,3.1606213574588273,1.03170595859976,1.0934536156712733,0,0
247,3.1707928683042326,3.1606336055618507,1.0014485155008188,1.0938571135974045,0,0
248,3.1188452163534954,3.1606458171300367,0.9880501103703332,1.0942609140372188,0,0
249,3.1537450366552022,3.1606579925813203,0.974443915046657,1.094665014950091,0,0
250,3.1368933072438723,3.160670132329816,0.9712463671426738,1.0950694142952864,0,0
251,3.13872162488272,3.1606822367858065,0.9751523118615829,1.095474110032036,0,0
252,3.1505532304637156,3.1606943063557384,0.986923647290828,1.095879100119607,0,0
253,3.128346245963595,3.1607063414422107,1.003758726394934,1.096284382517378,0,0
254,3.1586175076071563,3.1607183424439746,1.030708927457071,1.0966899551849092,0,0
255,3.12248986613003,3.160730309755922,1.055086410806919,1.0970958160820157,0,0
256,3.162991506797218,3.1607422437690857,1.0921676431672485,1.0975019631688367,0,0
257,3.118630928057365,3.1607541448706264,1.1194577132188681,1.0979083944059091,0,0
258,3.167130597438099,3.160766013443839,1.1597267135221454,1.0983151077542346,0,0
259,3.1141278873656097,3.1607778498681363,1.1848052946309886,1.0987221011753507,0,0
260,3.1725900548105392,3.1607896545190557,1.2210065494464672,1.0991293726313995,0,0
261,3.1082577764009023,3.1608014277682517,1.2392208554427229,1.0995369200851952,0,0
262,3.1793645032777635,3.1608131699834896,1.2634446963239556,1.0999447415002916,0,0
263,3.101483175755964,3.1608248815286495,1.2711062211884785,1.1003528348410498,0,0
264,3.185877573125545,3.160836562763722,1.2743443964862848,1.1007611980727032,0,0
265,3.095827207825207,3.160848214044805,1.2701519957306677,1.1011698291614227,0,0
266,3.189612780997404,3.160859835724105,1.248117108212847,1.1015787260743817,0,0
267,3.092977992709356,3.160871428149933,1.2344222960913038,1.101987886779819,0,0
268,3.191065058091167,3.160882991666712,1.1934289485742176,1.1023973092471018,0,0
269,3.092031183987075,3.160894526614966,1.1754612089120078,1.1028069914467877,0,0
270,3.190655475218795,3.1609060333313344,1.1313995529110403,1.1032169313506854,0,0
271,3.0930261098566656,3.160917512148558,1.1149495825314557,1.103627126931914,0,0
272,3.187986669270792,3.1609289633954956,1.0776104260485848,1.1040375761649632,0,0
273,3.096787918349509,3.1609403873971154,1.0628072487085514,1.1044482770257509,0,0
274,3.179866315380655,3.160951784474502,1.0288307082870654,1.104859227491679,0,0
275,3.1079927793462736,3.160963154944858,1.0131913448949934,1.1052704255416914,0,0
276,3.1644025927722548,3.1609744991215103,0.9881605332011063,1.105681869156327,0,0
277,3.1259245480032973,3.1609858173139105,0.9778361629862444,1.1060935563177747,0,0
278,3.147577443499259,3.1609971098276404,0.9713730467686962,1.1065054850099256,0,0
